"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\sipesuta\warga\dashboard.php", "PHP", 229, 1, 35, 265
"c:\xampp\htdocs\sipesuta\warga\hapus_pengajuan.php", "PHP", 56, 1, 10, 67
"c:\xampp\htdocs\sipesuta\warga\lihat_pengajuan.php", "PHP", 221, 1, 27, 249
"c:\xampp\htdocs\sipesuta\warga\pengajuan_baru.php", "PHP", 318, 4, 49, 371
"c:\xampp\htdocs\sipesuta\warga\profil.php", "PHP", 189, 1, 25, 215
"c:\xampp\htdocs\sipesuta\warga\proses_pengajuan.php", "PHP", 93, 8, 24, 125
"c:\xampp\htdocs\sipesuta\warga\proses_ubah.php", "PHP", 62, 1, 16, 79
"c:\xampp\htdocs\sipesuta\warga\ubah_pengajuan.php", "PHP", 214, 1, 32, 247
"Total", "-", 1382, 18, 218, 1618
